Instance MapleLcmDistChrBt MapleLcmDistChrBT-v1-r1000-lbdlim-10 MapleLcmDistChrBT-v2-r500-lbdlim-14 MapleLCMDist-v1-r1000-lbdlim-10 MapleLCMDist-v2-r500-lbdlim-14 MapleLCMDist
mp1-Nb5T14.cnf 1e+100 1e+100 159.981 50.9154 1e+100 1044.78 
mp1-Nb5T15.cnf 1e+100 110.953 1e+100 214.573 342.088 1e+100 
mp1-Nb5T16.cnf 95.7726 386.43 101.81 61.044 269.377 83.2623 
mp1-Nb6T06.cnf 54.7228 76.9819 74.3901 75.4366 66.549 58.1855 
mp1-Nb6T07.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 2392.83 
mp1-Nb6T25.cnf 2044.64 1547.45 1110.97 236.064 146.848 160.503 
mp1-Nb6T27.cnf 279.067 101.332 115.223 335.144 257.419 408.501 
mp1-Nb6T28.cnf 175.967 274.474 1093.59 105.447 217.562 545.049 
mp1-Nb6T29.cnf 215.106 337.803 383.038 266.525 555.214 245.232 
mp1-Nb6T30.cnf 1e+100 76.3548 70.6339 616.57 83.0317 308.095 
mp1-Nb7T07.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-Nb7T08.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-Nb7T42.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-Nb7T43.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-Nb7T44.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-Nb7T45.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-Nb7T46.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-blockpuzzle-5x10-s2-free5.cnf 118.605 135.784 147.562 134.867 147.829 147.431 
mp1-blockpuzzle-5x10-s3-free4.cnf 190.954 224.197 238.227 231.068 204.89 234.309 
mp1-blockpuzzle-5x10-s5-free3.cnf 79.4033 98.2832 132.938 128.77 123.556 97.0284 
mp1-blockpuzzle-5x10-s7-free4.cnf 132.346 141.396 148.148 140.194 140.356 148.467 
mp1-blockpuzzle-5x10-s8-free3.cnf 173.695 154.587 168.854 167.328 157.45 160.846 
mp1-blockpuzzle-5x12-s6-free3.cnf 160.03 172.55 192.094 218.546 185.936 230.346 
mp1-blockpuzzle-7x10-s10-free4.cnf 193.928 164.523 163.749 195.733 188.636 164.24 
mp1-blockpuzzle-7x10-s7-free8.cnf 4623.61 4903.49 2321.77 2731.09 1e+100 3609.76 
mp1-blockpuzzle-7x10-s9-free6.cnf 112.114 108.876 116.477 133.397 139.74 119.812 
mp1-blockpuzzle-8x8-s1-free4.cnf 210.208 187.506 180.297 165.967 165.73 156.642 
mp1-blockpuzzle-9x9-s1-free10.cnf 2544.15 2612.09 2619.15 2373.53 1348.06 2676.1 
mp1-blockpuzzle-9x9-s1-free7.cnf 3868.7 4264.71 3373.52 2536.25 1e+100 4489.7 
mp1-blockpuzzle-9x9-s1-free8.cnf 1e+100 3500.44 1e+100 3721.47 1e+100 1e+100 
mp1-blockpuzzle-9x9-s1-free9.cnf 2702.91 2810.68 3433.32 2652.07 2582.14 2562.94 
mp1-blockpuzzle-9x9-s4-free3.cnf 314.453 327.312 289.26 234.03 318.092 262.832 
